ID,CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCION,CP,POBLACION,PROVINCIA,PAIS
954,55014,SAN PABLO,36.4679520,-5.4189210,"Ctra. A-405 - Estación Ferracarril, S/N",11320,JIMENA DE LA FRONTERA,CÁDIZ,ESPAÑA
955,55015,JIMENA DE LA FRONTERA,36.4242000,-5.4341130,"C/ Juan de Dios, 15",11339,JIMENA DE LA FRONTERA,CÁDIZ,ESPAÑA
956,55017,ALMORAIMA,36.2775100,-5.4305290,"Ctra. A- 405 - Estación Ferrocarril, S/N",11350,CASTELLAR DE LA FRONTERA,CÁDIZ,ESPAÑA
957,55018,SAN ROQUE-LA LÍNEA,36.2144820,-5.4323990,"Avda. Guadarranque, 34",11368,SAN ROQUE,CÁDIZ,ESPAÑA
958,55019,LOS BARRIOS,36.1739980,-5.4608010,"Ctra. Jerez - Algeciras - Estación Ferrocarril, 1",11370,BARRIOS (LOS),CÁDIZ,ESPAÑA
959,55020,ALGECIRAS,36.1268310,-5.4511080,"Avda. Gesto Por la Paz, S/N",11207,ALGECIRAS,CÁDIZ,ESPAÑA
960,56004,JÓDAR-ÚBEDA,37.9133430,-3.3489200,"Ctra. A - 401 --- Estación de Ferrocarril, S/N",23400,JÓDAR,JAÉN,ESPAÑA
961,56005,LOS PROPIOS-CAZORLA,37.8920430,-3.2824510,,,ÚBEDA,JAÉN,ESPAÑA
962,56007,LARVA,37.7771470,-3.2317190,,,CABRA DEL SANTO CRISTO,JAÉN,ESPAÑA
963,56008,HUESA,37.7171480,-3.1871030,,,CABRA DEL SANTO CRISTO,JAÉN,ESPAÑA
964,56009,CABRA DEL SANTO CRISTO Y ALICÚN,37.6567129,-3.2626230,"Ctra. Jv - 3212 --- Estación Ferrocarril, S/N",23590,CABRA DEL SANTO CRISTO,JAÉN,ESPAÑA
965,56011,ALAMEDILLA-GUADAHORTUNA,37.5802420,-3.3029470,,,ALAMEDILLA,GRANADA,ESPAÑA
966,56100,MOREDA,37.4312160,-3.3105160,"Ctra. Gr-4101 - Estación de Ferrocarril, 26",18540,MORELÁBOR,GRANADA,ESPAÑA
967,56103,BENALÚA DE GUADIX,37.3452770,-3.1631770,"Avda. Llano de la Estación, S/N",18510,BENALÚA,GRANADA,ESPAÑA
968,56200,GUADIX,37.3168730,-3.1272090,"Avda. Estación Ferrocarril, S/N",18500,GUADIX,GRANADA,ESPAÑA
969,56301,FIÑANA,37.1846470,-2.8397570,"Ctra. Al - 6401 --- Diseminado Cortijo Faz,s/n",4500,FIÑANA,ALMERÍA,ESPAÑA
970,56305,GÉRGAL,37.1088470,-2.5915560,"Ctra. Al - 3410 --- Estación Ferrocarril, S/N",4458,GÉRGAL,ALMERÍA,ESPAÑA
971,56308,GÁDOR,36.9516240,-2.4876580,"Ctra. Al - 3411 --- C/ Retiro, S/N",4560,GÁDOR,ALMERÍA,ESPAÑA
972,56310,HUERCAL-VIATOR,36.8851550,-2.4367180,Estación Ffcc - C/ Real S/N - 04230 Huercal de Almeríao (Almería),4230,HUÉRCAL DE ALMERÍA,ALMERÍA,ESPAÑA
973,56312,ALMERÍA,36.8349510,-2.4555190,"Pla. Estación Ferrocarril, S/N",4006,ALMERÍA,ALMERÍA,ESPAÑA
974,57003,IZNALLOZ,37.3958520,-3.5279470,"C/ Explanada Estación Ferrocarril, S/N",18550,IZNALLOZ,GRANADA,ESPAÑA
980,60202,CASTILLEJO-AÑOVER,39.9496340,-3.7387740,"Ctra. M - 416 --- Añover-Yepes --- Estación Ferrocarril, S/N",28300,ARANJUEZ,MADRID,ESPAÑA
981,60203,VILLASEQUILLA,39.8795350,-3.7284530,"Paseo Estación Ferrocarril, S/N",45740,VILLASEQUILLA,TOLEDO,ESPAÑA
982,60206,TEMBLEQUE,39.7229580,-3.4973540,"C/ Camino de la Celadilla, S/N",45770,TEMBLEQUE,TOLEDO,ESPAÑA
983,60207,EL ROMERAL,39.6945160,-3.4305020,"Pla. Esquina del Cristino, S/N",45770,ROMERAL (EL),TOLEDO,ESPAÑA
984,60300,VILLACAÑAS,39.6226980,-3.3305100,"Paseo Estación Ferrocarril, S/N",45860,VILLACAÑAS,TOLEDO,ESPAÑA
985,60301,QUERO,39.5041730,-3.2660720,"Ctra. Estación Ferrocarril, S/N",45790,QUERO,TOLEDO,ESPAÑA
986,60400,ALCÁZAR DE SAN JUAN,39.3956280,-3.2057440,"C/ Alvarez Guerra, S/N",13600,ALCÁZAR DE SAN JUAN,CIUDAD REAL,ESPAÑA
987,60402,CAMPO DE CRIPTANA,39.3943430,-3.1177460,"Avda. Agustin de la Fuente, 49",13610,CAMPO DE CRIPTANA,CIUDAD REAL,ESPAÑA
988,60406,SOCUÉLLAMOS,39.2787760,-2.7755710,"C/ Estación Ferrocarril, S/N",13630,SOCUÉLLAMOS,CIUDAD REAL,ESPAÑA
989,60500,VILLARROBLEDO,39.2608680,-2.5986210,"C/ Juan Ferreira, S/N",2600,VILLARROBLEDO,ALBACETE,ESPAÑA
990,60503,MINAYA,39.2407380,-2.3484030,"C/ Estación Ferrocarril, S/N",2620,MINAYA,ALBACETE,ESPAÑA
991,60505,LA RODA DE ALBACETE,39.1995940,-2.1625470,"Pla. Estación Ferracarril, S/N",2630,RODA (LA),ALBACETE,ESPAÑA
992,60507,LA GINETA,39.1116650,-2.0001550,"C/ Santa Ana, S/N",2110,GINETA (LA),ALBACETE,ESPAÑA
993,60600,ALBACETE-LOS LLANOS,38.9993840,-1.8484500,"C/ Federico García Lorca, 1",2001,ALBACETE,ALBACETE,ESPAÑA
994,60800,ALMANSA,38.8678220,-1.1054460,"Pla. Primero de Mayo, 1",2640,ALMANSA,ALBACETE,ESPAÑA
995,60900,LA ENCINA,38.7653440,-0.9542440,"Avda. Constitucion, 1",3408,VILLENA,ALICANTE/ALACANT,ESPAÑA
996,60901,CAUDETE,38.7161630,-0.9597270,"Ctra. Cv - 656 --- Estación Ferrocarril, S/N",2660,CAUDETE,ALBACETE,ESPAÑA
997,60902,VILLENA,38.6317380,-0.8676890,"Ronda de la Estación, S/N",3400,VILLENA,ALICANTE/ALACANT,ESPAÑA
998,60904,SAX,38.5442510,-0.8137290,"Luis Barcelo Santoja, 25",3630,SAX,ALICANTE/ALACANT,ESPAÑA
999,60905,ELDA-PETRER,38.4848790,-0.8010900,"C/ Galicia, S/N",3600,ELDA,ALICANTE/ALACANT,ESPAÑA
1000,60907,NOVELDA-ASPE,38.4070860,-0.7777440,"C/ Rafael Altamira, S/N",3660,NOVELDA,ALICANTE/ALACANT,ESPAÑA
1004,61005,HELLÍN,38.5087760,-1.6884370,"Paseo Yutera del Carmen, S/N",2400,HELLÍN,ALBACETE,ESPAÑA
1005,61009,CALASPARRA,38.2692600,-1.6801090,"Calle Estacion Ferrocarril, 8",30420,CALASPARRA,MURCIA,ESPAÑA
1006,61012,CIEZA,38.2466090,-1.4217020,"C/ Estación Ferrocarril, 34",30530,CIEZA,MURCIA,ESPAÑA
1007,61015,ARCHENA-FORTUNA,38.1313200,-1.2360370,"C/ Estación Ferrocarril, S/N",30627,MOLINA DE SEGURA,MURCIA,ESPAÑA
1012,61307,CARTAGENA,37.6049670,-0.9751220,"Pla. de Mejico, 2",30203,CARTAGENA,MURCIA,ESPAÑA
1055,65301,LES PALMES,40.0213050,-0.0009230,,,CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,CASTELLÓN/CASTELLÓ,ESPAÑA
1069,65408,MONT-ROIG DEL CAMP,41.0449630,0.99072200,"Carretera N-340 - Partida Poblas, S/N",43892,MONT-ROIG DEL CAMP,TARRAGONA,ESPAÑA
1075,66001,ONTÍGOLA,40.0008270,-3.5728960,"Calle Camino Estacion Ferrocarril, S/N",45340,ONTÍGOLA,TOLEDO,ESPAÑA
1076,66002,OCAÑA,39.9646630,-3.4859600,"Calle Estacion Ferrocarril, S/N",45300,OCAÑA,TOLEDO,ESPAÑA
1077,66003,NOBLEJAS,39.9725080,-3.4425830,"Paseo Estacion Ferrocarril, S/N",45350,NOBLEJAS,TOLEDO,ESPAÑA
1078,66004,VILLARRUBIA DE SANTIAGO,39.9664310,-3.3678460,"Calle Estacion Ferrocarril, S/N",45360,VILLARRUBIA DE SANTIAGO,TOLEDO,ESPAÑA
1079,66005,SANTA CRUZ DE LA ZARZA,39.9731900,-3.1804240,"Avenida Castilla la Mancha, S/N",45370,SANTA CRUZ DE LA ZARZA,TOLEDO,ESPAÑA
1080,66006,TARANCÓN,40.0065020,-3.0096910,"Glorieta Estacion Ferrocarril, S/N",16400,TARANCÓN,CUENCA,ESPAÑA
1081,66008,HUELVES,40.0435340,-2.8856920,,,HUELVES,CUENCA,ESPAÑA
1082,66009,PAREDES DE MELO,40.1123290,-2.7965780,,,PAREDES,CUENCA,ESPAÑA
1083,66010,VELLISCA,40.1123040,-2.7963100,,,VELLISCA,CUENCA,ESPAÑA
1084,66011,HUETE,40.1471100,-2.6815970,"Paseo Estacion Ferrocarril, S/N",16500,HUETE,CUENCA,ESPAÑA
1086,66013,CASTILLEJO DEL ROMERAL,40.1371940,-2.5069210,"Calle Estacion Ferrocarril, S/N",16541,HUETE,CUENCA,ESPAÑA
1087,66014,CUEVAS DE VELASCO,40.1554910,-2.4085160,"Calle Estacion Ferrocarril, S/N",16542,VILLAR Y VELASCO,CUENCA,ESPAÑA
1088,66015,VILLAR DEL SAZ DE NAVALÓN,40.1692570,-2.3570930,,,FUENTENAVA DE JÁBAGA,CUENCA,ESPAÑA
1089,66016,CHILLARÓN,40.1029000,-2.2209660,"Calle Estacion Ferrocarril, S/N",16190,CHILLARÓN DE CUENCA,CUENCA,ESPAÑA
1090,66100,CUENCA,40.0673400,-2.1364710,"Calle Mariano Catalina, 10",16004,FUENTE OBEJUNA,CUENCA,ESPAÑA
1091,66103,CAÑADA DEL HOYO,39.9538410,-1.8895520,"Calle Estacion Ferrocarril, S/N",16340,CAÑADA DEL HOYO,CUENCA,ESPAÑA
1092,66104,CARBONERAS DE GUADAZAÓN,39.9000580,-1.8068330,"Carretera Camporrobles, S/N",16350,CARBONERAS DE GUADAZAÓN,CUENCA,ESPAÑA
